Js=youtube
Decoder=3
Aspect=0

油管新聞,#genre#
TVBS新聞,https://m.youtube.com/@TVBSNEWS01/streams/1
東森新聞,https://m.youtube.com/@newsebc/streams/1
民視新聞,https://m.youtube.com/@FTV_News/streams/1
中天新聞,https://m.youtube.com/@CtiTv/streams/1
三立財經,https://m.youtube.com/@setinews/live
東森財經,https://m.youtube.com/@57ETFN/streams/2
華視新聞,https://m.youtube.com/@CtsTw/streams/1
中視新聞,https://m.youtube.com/@twctvnews/streams/1
台視新聞,https://m.youtube.com/@TTV_NEWS/streams/1
北海道HTB,https://m.youtube.com/@htbnews/streams/1
ANNnews,https://m.youtube.com/@ANNnewsCH/streams/1
廣島,https://m.youtube.com/@home-news/streams/1

我們這一家,https://m.youtube.com/@Muse_Family/streams/1
中華一番,https://m.youtube.com/@Muse_Family/streams/2
蠟筆小新,https://m.youtube.com/@Muse_Family/streams/3

